date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2025-02-16,Heidenheim,Mainz,0,2,0.55,1.95
2025-02-21,Freiburg,Werder Bremen,5,0,2.66,1.25
2025-02-22,Wolfsburg,Bochum,1,1,2.16,1.47
2025-02-22,Mainz,St Pauli,2,0,1.36,0.9
2025-02-22,M'gladbach,Augsburg,0,3,0.8,1.74
2025-02-22,Holstein Kiel,Leverkusen,0,2,0.49,2.56
2025-02-22,Dortmund,Union Berlin,6,0,5.44,0.37
2025-02-23,RB Leipzig,Heidenheim,2,2,1.65,0.83
2025-02-23,Bayern Munich,Ein Frankfurt,4,0,4.49,0.49
2025-02-23,Hoffenheim,Stuttgart,1,1,0.71,3.67
2025-02-28,Stuttgart,Bayern Munich,1,3,0.65,2.3
2025-03-01,RB Leipzig,Mainz,1,2,1.78,1.65
2025-03-01,Heidenheim,M'gladbach,0,3,1.88,1.72
2025-03-01,Werder Bremen,Wolfsburg,1,2,2.1,1.12
2025-03-01,St Pauli,Dortmund,0,2,0.29,2.24
2025-03-01,Bochum,Hoffenheim,0,1,1.45,0.53
2025-03-01,Ein Frankfurt,Leverkusen,1,4,1.0,2.37
2025-03-02,Union Berlin,Holstein Kiel,0,1,0.89,0.69
2025-03-02,Augsburg,Freiburg,0,0,2.22,0.8
2025-03-07,M'gladbach,Mainz,1,3,1.26,1.99
2025-03-08,Leverkusen,Werder Bremen,0,2,1.36,1.68
2025-03-08,Bayern Munich,Bochum,2,3,2.73,1.36
2025-03-08,Dortmund,Augsburg,0,1,1.11,0.25
2025-03-08,Wolfsburg,St Pauli,1,1,1.97,1.24
2025-03-08,Holstein Kiel,Stuttgart,2,2,1.97,1.07
2025-03-08,Freiburg,RB Leipzig,0,0,0.51,2.03
2025-03-09,Ein Frankfurt,Union Berlin,1,2,2.01,0.73
2025-03-09,Hoffenheim,Heidenheim,1,1,1.78,2.31
2025-03-14,St Pauli,Hoffenheim,1,0,1.44,0.2
2025-03-15,Werder Bremen,M'gladbach,2,4,2.98,2.32
2025-03-15,Augsburg,Wolfsburg,1,0,0.6,0.76
2025-03-15,Mainz,Freiburg,2,2,1.33,2.93
